use_covariates,use_encoders,use_static_covariates,sample_weight,lags,lags_past_covariates,lags_future_covariates,num_leaves,max_depth,learning_rate,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,subsample_freq,min_split_gain,max_bin,WIS,error_flag,error_msg
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,10,0.8,0.8,0,1.0,1,0.0,1024,40029.1151811999,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,10,0.8,0.8,0.5,0,1,0.0,1024,39906.233579180036,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,10,0.8,0.8,0.5,0.5,1,0.0,1024,39965.55646319128,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,10,0.8,0.8,0.5,1.0,1,0.0,1024,39814.771201305,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,10,0.8,0.8,1.0,0,1,0.0,1024,39775.1670872206,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,10,0.8,0.8,1.0,0.5,1,0.0,1024,39865.065434213924,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,10,0.8,0.8,1.0,1.0,1,0.0,1024,39724.214982914906,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,20,0.8,0.8,0,0,1,0.0,1024,39144.07759288945,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,20,0.8,0.8,0,0.5,1,0.0,1024,39130.67061754682,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,20,0.8,0.8,0,1.0,1,0.0,1024,39276.326861671696,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,20,0.8,0.8,0.5,0,1,0.0,1024,39512.63692320364,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,20,0.8,0.8,0.5,0.5,1,0.0,1024,39658.58166011433,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,20,0.8,0.8,0.5,1.0,1,0.0,1024,39520.57038460227,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,20,0.8,0.8,1.0,0,1,0.0,1024,39691.46226585059,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,20,0.8,0.8,1.0,0.5,1,0.0,1024,39707.99244687047,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.01,1000,20,0.8,0.8,1.0,1.0,1,0.0,1024,39681.559088013404,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,5,0.8,0.8,0,0,1,0.0,1024,43635.57085024718,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,5,0.8,0.8,0,0.5,1,0.0,1024,42215.819972425445,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,5,0.8,0.8,0,1.0,1,0.0,1024,42401.730579124705,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,5,0.8,0.8,0.5,0,1,0.0,1024,42029.473603448016,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,5,0.8,0.8,0.5,0.5,1,0.0,1024,42018.394843355105,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,5,0.8,0.8,0.5,1.0,1,0.0,1024,41950.21042868907,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,5,0.8,0.8,1.0,0,1,0.0,1024,41676.87044887085,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,5,0.8,0.8,1.0,0.5,1,0.0,1024,41719.69576260058,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,5,0.8,0.8,1.0,1.0,1,0.0,1024,41853.0750541896,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,10,0.8,0.8,0,0,1,0.0,1024,41094.56152418384,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,10,0.8,0.8,0,0.5,1,0.0,1024,40603.51829785203,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,10,0.8,0.8,0,1.0,1,0.0,1024,40887.23705460515,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,10,0.8,0.8,0.5,0,1,0.0,1024,40362.125401935285,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,10,0.8,0.8,0.5,0.5,1,0.0,1024,40459.620581547184,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,10,0.8,0.8,0.5,1.0,1,0.0,1024,40287.755344144425,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,10,0.8,0.8,1.0,0,1,0.0,1024,40496.14155660863,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,10,0.8,0.8,1.0,0.5,1,0.0,1024,40586.324510652295,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,10,0.8,0.8,1.0,1.0,1,0.0,1024,40568.93445210157,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,20,0.8,0.8,0,0,1,0.0,1024,39509.76100302071,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,20,0.8,0.8,0,0.5,1,0.0,1024,39528.68941686059,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,20,0.8,0.8,0,1.0,1,0.0,1024,39588.178348975875,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,20,0.8,0.8,0.5,0,1,0.0,1024,39457.15446694824,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,20,0.8,0.8,0.5,0.5,1,0.0,1024,39992.94124161267,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,20,0.8,0.8,0.5,1.0,1,0.0,1024,39884.59115075024,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,20,0.8,0.8,1.0,0,1,0.0,1024,39832.88784376347,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,20,0.8,0.8,1.0,0.5,1,0.0,1024,39923.05241129545,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,500,20,0.8,0.8,1.0,1.0,1,0.0,1024,39893.50558130814,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,5,0.8,0.8,0,0,1,0.0,1024,44832.63542315548,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,5,0.8,0.8,0,0.5,1,0.0,1024,43251.044988922986,False,
True,True,False,linear,8,8,"(0, 1)",20,-1,0.05,1000,5,0.8,0.8,0,1.0,1,0.0,1024,43227.22001894598,False,
